1,992.44,831.49,450.4,202.68,140.83
2,781.16,597.4,411.52,185.18,168.23
2,801.72,535.6,411.52,185.18,45.291
3,834.56,629.24,450.4,202.68,169.49
4,969.89,471.93,450.4,202.68,95.182
5,812,353.14,706.18,317.78,15.963
6,879.67,629.24,450.4,202.68,192.91
8,834.56,494.4,450.4,202.68,108.94
8,925.06,432.6,411.52,185.18,21.57
9,969.89,494.4,450.4,202.68,65.897
10,749.54,412,828.97,373.04,33.892
11,796.08,443.69,635.56,286,71.191
11,859.76,285.23,635.56,286,12.731
12,678.38,473.8,411.52,185.18,113.85
13,917.91,423.77,706.18,317.78,41.109
14,766.89,606.76,450.4,202.68,159.08
14,812,539.35,450.4,202.68,18.399
15,969.89,674.18,450.4,202.68,180.9
16,902.22,539.35,450.4,202.68,62.127
17,992.44,404.51,450.4,202.68,27.963
17,969.89,471.93,450.4,202.68,20.385
17,857.11,426.98,450.4,202.68,18.045
