			O1				O2				O3			
Ser	Image	Junction	Rpx	Rpy	Lpx	Lpy	Rpx	Rpy	Lpx	Lpy	Rpx	Rpy	Lpx	Lpy
1	1	1	29.3028377211	83.7314833875	26.6992443700	77.8457029221	28.5806445772	84.4668485942	27.2350961315	77.6383701250	28.3239439607	84.2519043964	27.4353237541	77.1447403629
2	1	1	30.9687549584	83.2588792016	29.5014248480	76.9836298641	30.6174584233	83.1788234980	28.4222230885	77.3521586667	30.7699395568	83.3062113861	28.1767222904	77.0688008107
3	1	1	32.2755757937	82.9158028773	31.7332932596	76.7994806714	31.8155363234	83.0139895044	30.5295203015	76.5085261390	32.7632746564	83.3430745148	31.7446979556	76.1619326961
4	1	1	34.1571100422	82.7756625448	33.9621921209	76.7903631932	34.1948340864	82.9447423097	33.1973472504	75.9341334125	34.3713266787	83.3490340137	33.6670597815	75.7422032930
5	1	1	36.1243353139	82.7784147724	35.9629866949	76.8979761379	35.7573346657	82.8862552481	36.1412462949	76.1657692631	35.7705609400	83.1289707287	35.1306206629	75.6473538853
6	1	1	38.2948762780	82.6827406465	37.7337380864	76.6432267755	37.9534570011	82.7290113931	37.6012456096	76.1654876872	37.1487460016	83.2060029446	37.8387580811	75.8373753013
7	1	1	39.9137973631	82.6564534685	39.9321924607	76.3920754803	39.8432819493	82.7019270533	39.8612894469	76.1644761566	40.0611750513	83.0264145965	39.8245085119	76.1558818377
8	1	1	42.0624868991	82.7217269058	41.6646321920	76.3967984858	41.6718819561	82.6926208333	42.1495931970	76.2452307824	42.2151607537	83.0816971923	42.0473267706	76.2843964190
9	1	1	43.7673282729	82.6653122581	44.1459643913	76.5693329631	43.6362912456	82.8609062337	44.1309563305	76.4979079389	43.8898387440	83.0549744559	43.7827614325	76.1353774016
10	1	1	45.9243726249	82.7440889569	45.9125228527	76.5870313199	46.1434715550	82.9158064416	45.8342622417	76.4147288205	46.1449476565	83.2424958329	45.2791965345	76.0569409842
11	1	1	47.7957636440	82.7646676112	47.4144052399	76.3808884383	48.2788376960	83.1480523051	47.7788870707	75.9966761482	48.5466883818	83.2933309501	47.9263863550	75.4380920520
12	1	1	50.3166489823	82.8748472548	49.6181078397	76.0940393335	49.4766818662	83.2076179517	48.9988753622	75.7468862372	49.9830550139	83.3356350903	49.9251919563	75.3801223845
13	1	1	52.2522855767	82.8870965249	51.8708585801	75.8454470068	51.9154308327	83.2343078815	51.9992311806	75.6588467328	52.2802183016	83.2799637850	51.4012372192	75.2903782206
14	1	1	54.1154709475	82.7593133635	53.6061406125	75.7700335561	54.4189308235	83.2134199724	53.7920760496	75.5842078806	54.4358258662	83.0860049915	53.6411124973	75.2596307753
15	1	1	56.0765257620	82.7715737535	55.8660644127	75.7876719544	56.0104861126	83.0700078633	55.7331859543	75.4537489870	55.7446475020	83.1485653850	55.6027231461	75.0212336556
16	1	1	58.0502865710	82.6729845741	58.0791152094	75.7414621271	58.0562726404	83.0626792661	57.7593053618	75.4477361429	58.0884138903	83.0213755227	58.2816641824	75.2607785060
17	1	1	60.0448463130	82.6660434271	60.1162044803	75.8032799745	60.1276731320	82.9326958349	59.7748114037	75.2679834473	59.7403398493	82.7090579210	60.0272806009	75.3527532635
18	1	1	62.2008182175	82.4294742486	61.6076758329	75.7971415395	61.9776887600	82.8869415692	61.9669016660	75.2699946558	61.3937361053	82.7921569706	61.4828499236	75.3825357355
19	1	1	63.9773599580	82.3851340754	64.1140973288	75.7859018055	63.8625196378	82.7937821558	63.9626852007	75.3706756606	64.1842199979	82.7236395418	63.7121574926	75.4682954348
20	1	1	65.8569251040	82.2806292320	65.8499539107	75.8892866655	66.1108857938	82.6852343045	65.7561427017	75.4273838827	65.7907360581	82.7709043109	66.2063782112	75.3007392935
21	1	1	68.1667676288	82.2984517147	69.5655851996	76.0065757228	68.2649782062	82.7334263471	67.9442048714	75.1617317513	67.6842329823	82.9886999130	68.1974787603	75.3540719156
22	1	1	69.5223452239	82.3761087328	70.2601641441	76.2431941375	70.1713828642	82.5945714691	69.9472363426	75.1032798665	70.1824829238	82.9016972593	69.9339562160	75.4661508529
23	1	1	72.0128209973	82.3878021473	72.2458778353	76.3993208521	71.5918023647	82.5431322435	72.6650548166	75.5222553797	71.4391194573	82.8877291215	72.6400813355	75.7389681263
24	1	1	73.8127036141	82.6496890687	74.4676554423	76.4674062892	73.8315306913	82.7725644460	74.1278772971	75.8326749249	73.5129570447	83.0657515620	74.5713693958	75.9353108341
25	1	1	75.7992283729	82.9247311118	77.1023551984	77.0776102981	75.2584887510	82.9467887717	76.8315695708	76.2628046518	75.9206182892	83.1035977467	76.0363318250	76.1347854853
26	1	1	77.8288847069	82.9669740283	78.0950595046	77.2722744004	77.9984072456	83.2303110618	77.7999847315	76.3896693172	77.6037044014	83.0430432177	77.7761913581	76.3814926476
27	1	1	79.9691896370	82.9552558003	80.3477270539	77.4593105565	79.7235683726	83.3579088014	80.5074739429	76.5661905061	80.0671773207	83.2344746489	79.9861717151	76.5762097986
28	1	2	94.3827840844	85.8571916823	97.7950975719	79.4842555182	94.4528416060	86.1401973898	97.9141134105	79.2986455208	93.8594271515	85.8315117820	98.8605754369	79.3165150194
